"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\App.js", "JavaScript", 97, 0, 0, 4, 11, 112
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\atom\Playeratom.jsx", "JavaScript JSX", 0, 86, 0, 2, 8, 96
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\atom\TimerAtom.jsx", "JavaScript JSX", 0, 74, 0, 21, 16, 111
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\compile\CompilerAsComponent.js", "JavaScript", 66, 0, 0, 7, 13, 86
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\compile\CompilerAsMethod.js", "JavaScript", 59, 0, 0, 7, 11, 77
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\compile\SimpleCompiler.js", "JavaScript", 34, 0, 0, 9, 8, 51
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\database\CountData.js", "JavaScript", 33, 0, 0, 6, 8, 47
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\database\InsertData.js", "JavaScript", 42, 0, 0, 3, 9, 54
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\database\NonhookCountData.js", "JavaScript", 23, 0, 0, 5, 5, 33
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\database\SelectData.js", "JavaScript", 35, 0, 0, 2, 8, 45
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\database\UpdateData.js", "JavaScript", 49, 0, 0, 3, 10, 62
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\molecules\Card.jsx", "JavaScript JSX", 0, 26, 0, 1, 4, 31
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\molecules\CodeEditor.jsx", "JavaScript JSX", 0, 82, 0, 1, 4, 87
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\molecules\Console.jsx", "JavaScript JSX", 0, 30, 0, 1, 2, 33
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\molecules\PlayersMolecules.jsx", "JavaScript JSX", 0, 60, 0, 1, 7, 68
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\molecules\Playersmol.jsx", "JavaScript JSX", 0, 55, 0, 1, 6, 62
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\molecules\Project.jsx", "JavaScript JSX", 0, 45, 0, 1, 2, 48
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\molecules\TabsOfCodeEditor.jsx", "JavaScript JSX", 0, 86, 0, 11, 7, 104
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\molecules\Tag.jsx", "JavaScript JSX", 0, 28, 0, 1, 3, 32
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\molecules\TimerMol.jsx", "JavaScript JSX", 0, 81, 0, 13, 8, 102
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\molecules\card.css", "CSS", 0, 0, 53, 0, 8, 61
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\organisms\GameHeader.jsx", "JavaScript JSX", 0, 235, 0, 10, 8, 253
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\Concept.jsx", "JavaScript JSX", 0, 39, 0, 10, 7, 56
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\ConfirmPlayer.jsx", "JavaScript JSX", 0, 46, 0, 2, 5, 53
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\Game.jsx", "JavaScript JSX", 0, 201, 0, 14, 14, 229
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\InputPlayer.jsx", "JavaScript JSX", 0, 809, 0, 71, 85, 965
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\Load.jsx", "JavaScript JSX", 0, 47, 0, 1, 8, 56
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\Logic.jsx", "JavaScript JSX", 0, 60, 0, 13, 10, 83
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\MissionAcceptLogic.jsx", "JavaScript JSX", 0, 92, 0, 4, 11, 107
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\PmVote.jsx", "JavaScript JSX", 0, 113, 0, 6, 11, 130
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\Question.jsx", "JavaScript JSX", 0, 112, 0, 6, 10, 128
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\Result.css", "CSS", 0, 0, 13, 1, 3, 17
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\Result.jsx", "JavaScript JSX", 0, 104, 0, 3, 7, 114
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\Rule.jsx", "JavaScript JSX", 0, 73, 0, 3, 8, 84
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\Top.jsx", "JavaScript JSX", 0, 53, 0, 10, 8, 71
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\Vote.jsx", "JavaScript JSX", 0, 109, 0, 3, 7, 119
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\VoteResult.jsx", "JavaScript JSX", 0, 86, 0, 2, 5, 93
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\a.jsx", "JavaScript JSX", 0, 25, 0, 0, 6, 31
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\concept.css", "CSS", 0, 0, 26, 0, 4, 30
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\confirmPlayer.css", "CSS", 0, 0, 18, 0, 0, 18
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\hedder.js", "JavaScript", 22, 0, 0, 2, 3, 27
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\rule.css", "CSS", 0, 0, 18, 41, 4, 63
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\testpage.jsx", "JavaScript JSX", 0, 20, 0, 7, 6, 33
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\page\vote.css", "CSS", 0, 0, 25, 0, 9, 34
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\templates\Buttons.jsx", "JavaScript JSX", 0, 14, 0, 1, 2, 17
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\templates\Content50.jsx", "JavaScript JSX", 0, 16, 0, 1, 2, 19
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\templates\Content70.jsx", "JavaScript JSX", 0, 19, 0, 1, 2, 22
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\templates\Contents.jsx", "JavaScript JSX", 0, 18, 0, 1, 2, 21
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\templates\EditorContainer.jsx", "JavaScript JSX", 0, 19, 0, 1, 2, 22
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\view\ConfirmPlayerPage.jsx", "JavaScript JSX", 0, 83, 0, 0, 10, 93
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\view\GamePage.jsx", "JavaScript JSX", 0, 384, 0, 45, 39, 468
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\view\PMVotePage.jsx", "JavaScript JSX", 0, 65, 0, 0, 11, 76
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\view\ResultPage.jsx", "JavaScript JSX", 0, 81, 0, 0, 10, 91
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\view\VotePage.jsx", "JavaScript JSX", 0, 83, 0, 5, 13, 101
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\components\view\VoteResultPage.jsx", "JavaScript JSX", 0, 110, 0, 8, 18, 136
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\css\App.css", "CSS", 0, 0, 114, 22, 27, 163
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\index.js", "JavaScript", 12, 0, 0, 3, 3, 18
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\20193660\Desktop\Git\Coding-Jinroh\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 485, 3769, 267, 401, 541, 5463
